,Zip,Year,ppsf_doll_pred,Latitude,Longitude
13241,54151.5,2018-01-01,164.4150648,38.19148936,266.2234043
9633,63447.95946,2014-01-01,122.2271425,37.39864865,260.9797297
14185,53077.2549,2020-01-01,182.6969766,38.33333333,266.8872549
13092,58913.50602,2015-01-01,132.7583241,37.96686747,263.6596386
18589,63523.67213,2013-01-01,108.1022034,37.23360656,261.2909836
2769,53389.53247,2021-01-01,194.9024584,38.8474026,266.0227273
17757,52346.57292,2016-01-01,143.6890312,37.91666667,267.3697917
15539,53829.06024,2017-01-01,158.9539834,37.90662651,265.9789157
15748,53092.88889,2019-01-01,168.5912993,38.11868687,266.729798
14768,64917.53571,2012-01-01,102.9501952,37.41071429,259.9107143
